Date,Price,Open,High,Low,Vol.,Change %
2019-01-02,23.57,23.31,23.82,23.1,91.86K,0.43%
2019-01-03,23.58,23.63,23.72,23.37,15.29K,0.04%
2019-01-04,24.59,23.95,24.7,23.95,32.63K,4.28%
2019-01-07,25.24,24.79,25.33,24.79,48.20K,2.64%
2019-01-08,25.34,25.36,25.58,24.96,66.18K,0.40%
2019-01-09,26.04,25.63,26.37,25.56,110.54K,2.76%
2019-01-10,26.14,25.91,26.26,25.91,15.34K,0.38%
2019-01-11,26.25,26.01,26.32,25.89,26.59K,0.42%
2019-01-14,26.18,26.0,26.34,25.8,35.40K,-0.27%
2019-01-15,26.31,26.34,26.34,26.11,11.80K,0.50%
2019-01-16,26.22,26.3,26.5,26.1,27.54K,-0.34%
2019-01-17,26.25,26.08,26.28,26.0,13.73K,0.11%
2019-01-18,26.69,26.38,26.81,26.38,22.24K,1.68%
2019-01-22,25.86,26.26,26.26,25.75,36.35K,-3.11%
2019-01-23,26.15,26.03,26.28,25.92,75.00K,1.12%
2019-01-24,26.42,26.18,26.54,26.18,41.52K,1.03%
2019-01-25,26.9,26.85,27.05,26.7,171.81K,1.82%
2019-01-28,27.09,26.67,27.17,26.55,32.28K,0.71%
2019-01-29,27.21,27.17,27.25,27.02,39.94K,0.44%
2019-01-30,27.62,27.24,27.78,27.16,163.58K,1.51%
2019-01-31,27.95,27.66,28.03,27.58,47.28K,1.19%
2019-02-01,27.98,27.95,27.99,27.69,34.68K,0.11%
2019-02-04,28.31,27.94,28.31,27.68,94.07K,1.18%
2019-02-05,28.33,28.49,28.5,28.19,88.58K,0.07%
2019-02-06,27.73,28.1,28.17,27.67,49.26K,-2.12%
2019-02-07,27.3,27.58,27.58,26.95,36.00K,-1.55%
2019-02-08,27.33,27.24,27.33,26.89,48.58K,0.11%
2019-02-11,27.46,27.29,27.58,27.19,24.60K,0.48%
2019-02-12,27.98,27.86,28.06,27.78,89.21K,1.89%
2019-02-13,27.61,27.95,28.11,27.57,54.39K,-1.32%
2019-02-14,27.77,27.57,27.94,27.46,53.99K,0.58%
2019-02-15,27.74,27.91,28.06,27.71,12.96K,-0.11%
2019-02-19,27.36,27.62,27.62,27.27,110.08K,-1.37%
2019-02-20,27.28,27.46,27.61,27.1,265.71K,-0.29%
2019-02-21,27.11,27.13,27.14,26.97,36.46K,-0.62%
2019-02-22,27.71,27.38,27.71,27.33,17.73K,2.21%
2019-02-25,27.6,27.82,28.01,27.54,55.77K,-0.40%
2019-02-26,27.3,27.47,27.59,27.17,49.37K,-1.09%
2019-02-27,28.33,27.79,28.6,27.79,201.51K,3.77%
2019-02-28,28.18,28.36,28.36,28.01,20.36K,-0.53%
2019-03-01,27.68,28.45,28.57,27.57,146.36K,-1.77%
