Date,Price,Open,High,Low,Vol.,Change %
2026-06-02,41.82,41.54,41.99,41.32,96.47K,0.19%
2026-06-01,41.74,41.45,43.1,41.45,1.25M,6.64%
2026-05-29,39.14,39.28,39.67,39.08,260.63K,-0.13%
2026-05-28,39.19,38.82,39.62,38.82,390.02K,-0.96%
2026-05-27,39.57,39.59,39.76,39.15,216.61K,0.23%
2026-05-26,39.48,38.03,39.63,38.03,523.86K,5.87%
2026-05-22,37.29,37.13,37.43,36.97,87.77K,0.57%
2026-05-21,37.08,36.67,37.18,36.63,156.21K,0.22%
2026-05-20,37.0,36.3,37.0,36.3,184.82K,2.72%
2026-05-19,36.02,36.06,36.39,35.87,174.37K,-1.37%
2026-05-18,36.52,36.3,36.54,36.06,63.78K,1.33%
2026-05-15,36.04,36.29,36.5,35.79,119.47K,-2.04%
2026-05-14,36.79,36.07,36.97,36.07,147.06K,2.59%
2026-05-13,35.86,36.35,36.48,35.85,180.11K,-1.18%
2026-05-12,36.29,36.49,36.74,36.15,50.88K,-1.68%
2026-05-11,36.91,37.14,37.4,36.75,65.84K,-1.07%
2026-05-08,37.31,37.76,38.0,37.28,54.69K,-0.98%
2026-05-07,37.68,38.49,38.49,37.54,56.93K,-0.95%
2026-05-06,38.04,38.5,38.5,37.78,95.02K,0.13%
2026-05-05,37.99,38.15,38.19,37.55,114.39K,1.44%
2026-05-04,37.45,38.0,38.25,37.35,199.67K,-2.04%
2026-05-01,38.23,38.87,38.87,37.85,301.69K,-0.93%
2026-04-30,38.59,38.79,38.79,38.19,61.29K,0.42%
2026-04-29,38.43,38.93,38.93,38.25,116.03K,-0.65%
2026-04-28,38.68,39.15,39.4,38.66,162.10K,-1.80%
2026-04-27,39.39,40.66,40.84,39.08,148.64K,-3.10%
2026-04-24,40.65,40.79,40.83,40.63,44.01K,-0.02%
2026-04-23,40.66,41.0,41.2,40.5,69.73K,-0.44%
2026-04-22,40.84,41.04,41.17,40.74,57.87K,0.37%
2026-04-21,40.69,41.4,41.56,40.66,86.83K,-1.57%
2026-04-20,41.34,40.84,41.53,40.79,76.73K,0.80%
2026-04-17,41.01,41.61,41.7,40.87,100.92K,-0.58%
2026-04-16,41.25,41.4,41.41,41.02,102.99K,-0.10%
2026-04-15,41.29,42.2,42.2,40.92,103.28K,-1.88%
2026-04-14,42.08,42.15,42.3,41.85,148.12K,0.10%
2026-04-13,42.04,40.64,42.12,40.38,148.39K,2.41%
2026-04-10,41.05,40.5,41.37,40.21,173.50K,1.36%
2026-04-09,40.5,40.11,40.52,39.75,165.33K,0.12%
2026-04-08,40.45,40.6,40.8,40.01,82.34K,1.40%
2026-04-07,39.89,39.83,40.09,39.61,167.49K,-0.28%
2026-04-06,40.0,39.63,40.12,39.48,53.64K,0.18%
2026-04-02,39.93,39.25,40.03,38.94,98.90K,0.55%
2026-04-01,39.71,39.4,39.9,39.14,226.61K,0.38%
2026-03-31,39.56,38.95,39.91,38.72,244.91K,1.70%
2026-03-30,38.9,38.45,38.95,38.08,321.86K,1.97%
2026-03-27,38.15,38.49,38.72,38.13,493.44K,-0.57%
2026-03-26,38.37,38.45,38.86,38.37,24.33K,-0.78%
2026-03-25,38.67,38.19,38.95,38.13,142.05K,1.82%
2026-03-24,37.98,37.6,38.59,37.49,272.80K,0.40%
2026-03-23,37.83,37.84,38.19,37.5,127.56K,1.50%
2026-03-20,37.27,37.58,37.84,36.86,338.87K,-0.72%
2026-03-19,37.54,36.79,37.56,36.79,211.21K,0.45%
2026-03-18,37.37,37.79,37.92,37.28,59.23K,-0.61%
2026-03-17,37.6,37.87,38.21,37.44,132.28K,-0.03%
2026-03-16,37.61,37.96,38.47,37.54,172.93K,0.53%
2026-03-13,37.41,38.26,38.38,37.1,137.90K,-1.94%
2026-03-12,38.15,38.57,38.78,38.0,220.40K,-1.45%
2026-03-11,38.71,38.6,39.19,38.53,465.13K,0.44%
2026-03-10,38.54,37.75,38.7,37.65,150.71K,3.05%
2026-03-09,37.4,36.71,37.71,36.68,234.93K,2.19%
2026-03-06,36.6,36.56,37.12,36.46,64.88K,-0.76%
2026-03-05,36.88,37.1,37.4,36.52,187.59K,-0.86%
2026-03-04,37.2,37.16,37.91,36.93,164.82K,1.97%
2026-03-03,36.48,36.18,36.5,34.89,189.70K,-2.36%
2026-03-02,37.36,38.19,38.55,37.3,415.84K,-4.01%
2026-02-27,38.92,39.3,39.53,38.83,72.56K,-0.97%
2026-02-26,39.3,40.92,41.12,39.0,297.97K,-4.15%
2026-02-25,41.0,41.62,41.62,40.81,18.26K,-0.94%
2026-02-24,41.39,42.24,42.24,41.16,117.01K,-2.43%
2026-02-23,42.42,41.64,42.62,41.64,162.65K,2.09%
2026-02-20,41.55,41.3,41.67,41.05,154.32K,0.87%
2026-02-19,41.19,40.68,41.37,40.64,221.38K,0.59%
2026-02-18,40.95,41.08,41.31,40.75,85.76K,-0.58%
2026-02-17,41.19,41.0,41.35,40.5,136.79K,0.17%
2026-02-13,41.12,40.26,41.12,40.17,135.00K,2.47%
2026-02-12,40.13,41.25,41.65,40.13,62.50K,-2.72%
2026-02-11,41.25,41.78,41.83,40.94,78.96K,-0.98%
2026-02-10,41.66,41.91,42.0,41.62,126.55K,-0.36%
2026-02-09,41.81,41.09,41.85,41.09,50.62K,1.78%
2026-02-06,41.08,40.4,41.08,40.3,98.38K,3.01%
