Date,Price,Open,High,Low,Vol.,Change %
2026-06-02,79.08,78.18,79.62,78.11,"765,22K",1.55%
2026-06-01,77.87,78.17,78.38,77.17,"1,34M",-0.71%
2026-05-29,78.43,78.55,78.64,77.25,"1,91M",-0.48%
2026-05-28,78.81,79.44,79.64,78.27,"1,27M",-0.94%
2026-05-27,79.56,78.84,79.94,78.61,"1,00M",0.89%
2026-05-26,78.86,77.45,79.02,77.42,"1,92M",1.41%
2026-05-22,77.76,77.55,77.99,77.13,"807,65K",-0.05%
2026-05-21,77.80,77.54,78.35,77.26,"1,33M",-0.83%
2026-05-20,78.45,77.80,78.69,77.26,"1,65M",1.20%
2026-05-19,77.52,76.99,77.89,76.53,"796,58K",-0.49%
2026-05-18,77.90,77.63,78.00,77.02,"932,25K",0.89%
2026-05-15,77.21,77.73,77.98,76.79,"1,62M",-2.27%
2026-05-14,79.00,80.15,81.07,78.65,"1,76M",-1.58%
2026-05-13,80.27,80.01,80.99,79.81,"1,29M",0.35%
2026-05-12,79.99,79.78,80.19,79.44,"721,87K",-0.29%
2026-05-11,80.22,79.76,80.95,79.60,"723,46K",0.44%
2026-05-08,79.87,79.98,80.76,79.75,"766,21K",0.41%
2026-05-07,79.54,79.57,80.63,79.03,"1,21M",0.03%
2026-05-06,79.52,78.79,79.64,78.14,"1,21M",2.53%
2026-05-05,77.56,76.63,77.93,76.40,"1,20M",2.52%
2026-05-04,75.65,76.47,77.03,75.58,"1,72M",-1.32%
2026-05-01,76.66,76.75,78.15,76.26,"1,20M",0.29%
2026-04-30,76.44,75.68,76.57,75.35,"1,91M",1.38%
2026-04-29,75.40,75.93,76.27,75.28,"1,19M",-1.15%
2026-04-28,76.28,76.37,76.67,75.66,"1,29M",-1.05%
2026-04-27,77.09,78.72,78.72,77.02,"1,60M",-1.76%
2026-04-24,78.47,78.11,78.72,77.64,"1,13M",1.11%
2026-04-23,77.61,78.03,78.92,77.34,"1,15M",-0.92%
