Date,Price,Open,High,Low,Vol.,Change %
2026-06-02,35.97,35.52,35.97,35.45,10.08M,0.84%
2026-06-01,35.67,35.62,35.81,35.49,20.82M,-0.67%
2026-05-29,35.91,35.7,35.99,35.53,24.97M,-0.55%
2026-05-28,36.11,36.08,36.48,35.85,25.38M,0.00%
2026-05-27,36.11,36.28,36.56,36.05,17.47M,-1.04%
2026-05-26,36.49,36.7,36.76,36.19,18.36M,0.33%
2026-05-22,36.37,36.69,36.74,36.15,26.29M,-1.73%
2026-05-21,37.01,36.45,37.28,36.32,19.88M,0.71%
2026-05-20,36.75,36.22,36.92,36.21,42.89M,2.40%
2026-05-19,35.89,35.72,36.29,35.72,57.20M,-2.31%
2026-05-18,36.74,36.48,36.76,36.26,22.43M,1.41%
2026-05-15,36.23,36.04,36.35,35.88,36.44M,-2.42%
2026-05-14,37.13,37.19,37.41,36.99,36.04M,0.95%
2026-05-13,36.78,37.82,38.17,36.68,62.28M,-3.82%
2026-05-12,38.24,38.33,38.54,38.05,42.38M,-1.09%
2026-05-11,38.66,39.15,39.24,38.52,31.08M,-1.18%
2026-05-08,39.12,39.47,39.5,39.12,24.47M,0.82%
2026-05-07,38.8,39.48,39.51,38.74,28.77M,-2.76%
2026-05-06,39.9,40.02,40.04,39.54,21.05M,0.48%
2026-05-05,39.71,39.57,39.93,39.34,19.82M,1.72%
2026-05-04,39.04,39.54,39.71,38.99,27.72M,-0.99%
2026-05-01,39.43,39.74,39.78,39.29,12.71M,-0.68%
2026-04-30,39.7,39.11,39.77,39.01,24.42M,2.72%
2026-04-29,38.65,39.35,39.35,38.6,38.82M,-2.62%
2026-04-28,39.69,39.49,39.79,39.24,14.10M,-0.50%
2026-04-27,39.89,40.2,40.34,39.87,18.90M,-0.13%
2026-04-24,39.94,39.81,39.95,39.55,28.31M,-0.37%
2026-04-23,40.09,40.68,40.8,39.92,37.96M,-1.23%
2026-04-22,40.59,41.27,41.33,40.55,24.23M,-0.49%
2026-04-21,40.79,41.4,41.77,40.78,16.15M,-1.23%
2026-04-20,41.3,41.44,41.45,41.03,17.75M,0.34%
2026-04-17,41.16,41.87,41.89,41.12,47.25M,-0.75%
2026-04-16,41.47,41.66,41.67,41.19,26.87M,0.02%
2026-04-15,41.46,41.85,41.9,41.37,21.54M,-0.65%
2026-04-14,41.73,41.76,42.02,41.64,22.28M,0.51%
2026-04-13,41.52,41.12,41.6,40.86,24.37M,0.46%
2026-04-10,41.33,40.96,41.33,40.91,42.02M,1.95%
2026-04-09,40.54,39.87,40.57,39.86,38.12M,2.48%
2026-04-08,39.56,40.03,40.13,39.26,33.82M,2.86%
2026-04-07,38.46,38.31,38.49,37.85,19.98M,-0.21%
2026-04-06,38.54,38.48,38.75,38.35,17.70M,0.50%
2026-04-02,38.35,37.87,38.75,37.76,26.09M,-0.05%
2026-04-01,38.37,38.54,38.81,38.28,35.81M,-0.05%
2026-03-31,38.39,37.4,38.39,37.28,47.72M,4.41%
2026-03-30,36.77,37.0,37.25,36.5,21.22M,0.38%
2026-03-27,36.63,36.49,37.14,36.46,27.15M,-0.46%
2026-03-26,36.8,37.14,37.44,36.75,27.56M,-1.97%
2026-03-25,37.54,37.35,37.8,37.2,33.72M,2.37%
2026-03-24,36.67,36.16,36.85,36.11,34.96M,-0.49%
2026-03-23,36.85,36.02,37.17,35.9,53.48M,5.11%
2026-03-20,35.06,35.92,35.93,34.81,47.47M,-3.95%
2026-03-19,36.5,35.46,36.81,35.33,40.49M,0.66%
2026-03-18,36.26,36.55,36.9,36.22,25.47M,-1.23%
2026-03-17,36.71,37.0,37.31,36.6,23.96M,0.49%
2026-03-16,36.53,36.19,36.72,36.12,30.97M,2.93%
2026-03-13,35.49,36.51,36.65,35.31,42.80M,-1.74%
2026-03-12,36.12,36.94,36.95,36.02,39.46M,-3.96%
2026-03-11,37.61,37.58,38.07,37.24,24.82M,0.21%
2026-03-10,37.53,37.09,38.13,36.85,32.10M,1.16%
2026-03-09,37.1,36.27,37.27,35.96,43.89M,2.26%
2026-03-06,36.28,35.85,36.44,35.66,34.59M,-0.22%
2026-03-05,36.36,36.81,37.04,36.06,56.55M,-3.01%
2026-03-04,37.49,37.46,37.72,37.18,31.23M,1.82%
2026-03-03,36.82,36.56,37.24,35.76,98.27M,-4.71%
2026-03-02,38.64,37.93,38.88,37.84,42.44M,-0.23%
2026-02-27,38.73,38.74,39.12,38.62,28.47M,-0.95%
2026-02-26,39.1,39.26,39.27,38.56,38.50M,-1.24%
2026-02-25,39.59,39.58,39.69,39.2,31.58M,0.30%
2026-02-24,39.47,38.95,39.53,38.81,45.45M,1.81%
2026-02-23,38.77,39.22,39.65,38.67,39.61M,-1.52%
2026-02-20,39.37,38.48,39.37,38.44,47.51M,1.97%
2026-02-19,38.61,38.09,38.65,37.93,33.54M,1.53%
2026-02-18,38.03,38.15,38.67,37.73,38.97M,0.77%
2026-02-17,37.74,37.87,38.05,37.22,22.98M,-0.84%
2026-02-13,38.06,37.89,38.1,37.33,51.69M,-1.12%
2026-02-12,38.49,39.22,39.35,38.26,46.83M,-1.71%
2026-02-11,39.16,39.11,39.45,38.79,43.81M,2.19%
2026-02-10,38.32,38.3,38.53,38.13,28.96M,-0.26%
2026-02-09,38.42,37.82,38.54,37.71,43.17M,2.29%
2026-02-06,37.56,37.41,37.58,37.05,44.56M,1.76%
2026-02-05,36.91,37.21,37.52,36.69,39.21M,-0.19%
2026-02-04,36.98,37.83,37.83,36.69,59.49M,-2.79%
2026-02-03,38.04,38.48,38.64,37.7,68.25M,1.58%
2026-02-02,37.45,37.0,37.55,36.97,31.61M,1.11%
2026-01-30,37.04,37.75,37.92,36.77,63.82M,-2.83%
