Date,Price,Open,High,Low,Vol.,Change %
2026-06-02,374.36,372.94,374.7,372.8,1.35M,0.26%
2026-06-01,373.4,372.18,374.44,371.48,6.89M,0.23%
2026-05-29,372.54,372.04,373.13,371.35,3.17M,0.24%
2026-05-28,371.66,369.53,371.92,368.75,2.96M,0.62%
2026-05-27,369.36,369.5,370.05,368.4,3.10M,-0.03%
2026-05-26,369.46,368.98,370.24,368.4,3.57M,0.73%
2026-05-22,366.79,366.81,368.3,366.09,2.65M,0.47%
2026-05-21,365.09,362.8,366.07,362.13,2.77M,0.25%
2026-05-20,364.19,361.2,364.39,360.2,3.15M,1.15%
2026-05-19,360.06,360.65,361.97,358.8,3.17M,-0.63%
2026-05-18,362.36,363.34,364.07,359.98,3.58M,-0.10%
2026-05-15,362.74,364.53,364.93,362.27,3.40M,-1.27%
2026-05-14,367.4,365.5,368.25,365.42,2.93M,0.74%
2026-05-13,364.71,363.22,365.4,361.36,3.31M,0.53%
2026-05-12,362.79,362.52,363.16,359.62,3.07M,-0.23%
2026-05-11,363.63,362.61,364.48,362.42,3.67M,0.21%
2026-05-08,362.87,362.01,363.13,361.47,2.87M,0.74%
2026-05-07,360.2,362.62,362.72,359.38,3.50M,-0.46%
2026-05-06,361.86,359.46,362.27,359.12,3.79M,1.36%
2026-05-05,356.99,355.79,357.58,355.77,2.72M,0.85%
2026-05-04,353.98,355.08,356.17,352.53,3.01M,-0.37%
2026-05-01,355.29,355.56,357.15,355.08,3.75M,0.31%
2026-04-30,354.18,351.55,354.69,350.02,2.72M,1.13%
2026-04-29,350.21,350.46,350.69,348.67,2.74M,-0.12%
2026-04-28,350.63,351.19,351.61,349.49,3.07M,-0.54%
2026-04-27,352.53,352.0,352.81,351.28,2.81M,0.14%
2026-04-24,352.05,350.87,352.37,349.67,2.71M,0.64%
2026-04-23,349.8,350.52,351.69,346.55,3.37M,-0.40%
2026-04-22,351.22,350.31,351.31,349.95,2.49M,0.97%
2026-04-21,347.84,351.05,351.74,347.17,4.91M,-0.68%
2026-04-20,350.21,349.9,350.61,348.83,4.05M,-0.09%
2026-04-17,350.53,348.43,351.74,348.18,4.26M,1.30%
2026-04-16,346.03,345.7,346.64,344.56,3.84M,0.23%
2026-04-15,345.24,343.25,345.41,342.61,3.98M,0.76%
2026-04-14,342.65,339.8,342.78,339.6,3.38M,1.18%
2026-04-13,338.67,333.94,338.74,333.64,3.03M,1.08%
2026-04-10,335.05,336.13,336.55,334.57,2.58M,-0.12%
2026-04-09,335.45,333.31,336.13,332.43,3.44M,0.52%
2026-04-08,333.7,334.19,334.48,331.58,5.38M,2.54%
2026-04-07,325.43,324.22,325.58,321.46,3.57M,0.07%
2026-04-06,325.21,323.95,325.62,323.58,4.40M,0.45%
2026-04-02,323.76,318.97,324.9,318.23,3.65M,0.16%
2026-04-01,323.24,322.91,325.09,322.28,5.54M,0.76%
2026-03-31,320.81,315.35,321.52,314.75,6.76M,2.93%
2026-03-30,311.68,315.9,316.0,310.4,6.51M,-0.45%
2026-03-27,313.09,317.27,317.47,312.5,7.03M,-2.02%
