"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","97.80","98.84","98.84","96.77","505.51K","-1.20%"
"06/01/2026","98.99","97.62","99.35","97.20","379.13K","1.32%"
"05/29/2026","97.70","96.26","97.77","95.42","170.66K","1.72%"
"05/28/2026","96.05","95.11","97.06","95.00","333.77K","0.49%"
"05/27/2026","95.58","92.25","96.00","91.68","277.56K","3.35%"
"05/26/2026","92.48","91.48","92.48","90.42","95.85K","2.30%"
"05/22/2026","90.40","92.37","92.45","90.22","69.36K","-1.80%"
"05/21/2026","92.06","89.78","92.07","89.29","87.04K","2.21%"
"05/20/2026","90.07","88.47","90.29","88.47","124.42K","2.17%"
"05/19/2026","88.16","89.78","89.84","88.08","333.85K","-1.99%"
"05/18/2026","89.95","87.50","89.98","87.05","139.88K","3.55%"
"05/15/2026","86.87","87.85","88.34","86.20","251.04K","-2.92%"
"05/14/2026","89.48","88.37","89.82","87.75","233.91K","1.37%"
"05/13/2026","88.27","89.71","89.71","87.50","408.47K","-1.69%"
"05/12/2026","89.79","89.71","90.47","88.48","97.55K","-0.42%"
"05/11/2026","90.17","89.92","90.50","88.99","179.70K","0.76%"
"05/08/2026","89.49","91.74","91.76","89.11","276.13K","-3.27%"
"05/07/2026","92.52","93.72","94.17","92.28","101.55K","-1.54%"
"05/06/2026","93.97","91.36","94.34","91.36","343.93K","4.02%"
"05/05/2026","90.34","90.66","90.87","89.85","167.71K","0.51%"
"05/04/2026","89.88","89.99","91.55","89.74","457.65K","0.25%"
"05/01/2026","89.66","91.23","91.95","89.21","474.10K","-1.59%"
"04/30/2026","91.11","90.90","91.83","90.19","658.14K","0.71%"
"04/29/2026","90.47","91.30","91.65","90.06","106.14K","-0.82%"
"04/28/2026","91.22","91.70","91.99","90.50","191.83K","-0.82%"
"04/27/2026","91.97","92.13","92.90","91.70","443.29K","0.32%"
"04/24/2026","91.68","91.60","91.93","90.47","147.92K","0.21%"
"04/23/2026","91.49","92.94","93.44","91.14","367.31K","-2.01%"
"04/22/2026","93.37","95.02","95.26","93.32","307.81K","-0.47%"
"04/21/2026","93.81","94.83","95.20","93.65","263.78K","-1.08%"
"04/20/2026","94.83","93.55","94.98","93.23","427.91K","1.14%"
"04/17/2026","93.76","94.66","94.66","93.54","232.95K","-0.44%"
"04/16/2026","94.17","94.00","94.99","93.36","210.54K","0.30%"
"04/15/2026","93.89","94.22","94.37","93.50","299.80K","-0.24%"
"04/14/2026","94.12","95.07","95.80","93.88","228.19K","-0.59%"
"04/13/2026","94.68","94.11","95.50","93.86","211.84K","0.48%"
"04/10/2026","94.23","94.24","95.00","93.66","280.25K","0.32%"
"04/09/2026","93.93","94.25","95.12","93.07","675.10K","-0.77%"
"04/08/2026","94.66","95.00","97.26","93.40","588.01K","2.11%"
"04/07/2026","92.70","93.45","93.58","91.34","129.36K","-0.29%"
"04/06/2026","92.97","94.07","94.07","92.28","162.36K","-0.98%"
"04/02/2026","93.89","91.85","94.08","91.58","370.71K","0.73%"
"04/01/2026","93.21","93.29","93.84","91.90","596.93K","-0.12%"
"03/31/2026","93.32","89.53","93.62","89.24","606.86K","4.75%"
"03/30/2026","89.09","88.61","90.26","88.33","504.66K","1.91%"
"03/27/2026","87.42","87.57","89.59","87.15","87.19K","-0.50%"
"03/26/2026","87.86","88.07","90.45","87.58","96.95K","-1.44%"
"03/25/2026","89.14","88.40","90.00","88.40","586.30K","1.68%"
"03/24/2026","87.67","86.84","88.00","86.24","176.83K","0.47%"
"03/23/2026","87.26","86.05","88.26","85.67","346.81K","2.00%"
"03/20/2026","85.55","87.70","87.70","84.93","280.48K","-2.76%"
"03/19/2026","87.98","85.24","88.09","85.12","231.48K","1.51%"
"03/18/2026","86.67","86.91","87.65","86.45","134.46K","-0.96%"
"03/17/2026","87.51","86.40","88.00","86.33","57.26K","2.17%"
"03/16/2026","85.65","86.04","86.74","85.38","129.94K","0.16%"
"03/13/2026","85.51","86.70","87.71","85.13","235.37K","-1.34%"
"03/12/2026","86.67","88.67","88.75","86.24","175.10K","-3.45%"
"03/11/2026","89.77","87.54","89.77","87.37","159.39K","2.13%"
"03/10/2026","87.90","87.19","89.77","86.65","279.97K","1.24%"
"03/09/2026","86.82","85.69","87.13","85.45","156.51K","0.32%"
"03/06/2026","86.54","85.66","88.07","84.82","125.37K","-0.37%"
"03/05/2026","86.86","87.65","88.25","85.32","162.04K","-1.10%"
"03/04/2026","87.83","87.33","88.26","86.54","254.67K","1.80%"
"03/03/2026","86.28","86.54","87.08","83.46","322.78K","-3.87%"
"03/02/2026","89.75","88.59","90.93","88.50","155.09K","-0.01%"
"02/27/2026","89.76","90.78","90.84","88.50","199.44K","-1.47%"
"02/26/2026","91.10","92.59","92.59","89.81","135.85K","-1.58%"
"02/25/2026","92.56","93.77","93.77","91.51","110.31K","-1.96%"
"02/24/2026","94.41","92.88","94.93","92.84","120.99K","1.91%"
"02/23/2026","92.64","95.36","95.81","92.46","76.10K","-2.99%"
"02/20/2026","95.50","94.24","95.50","93.44","159.70K","1.37%"
"02/19/2026","94.21","91.13","94.61","91.06","236.20K","3.19%"
"02/18/2026","91.30","91.18","92.41","90.74","79.36K","0.66%"
"02/17/2026","90.70","91.57","92.18","88.67","219.95K","-1.83%"
"02/13/2026","92.39","92.00","93.16","91.09","160.61K","1.20%"
"02/12/2026","91.29","96.87","97.48","90.91","208.63K","-4.52%"
