"Date","Price","Open","High","Low","Change %"
"11/22/2019","51.918","51.918","51.918","51.918","0.12%"
"11/21/2019","51.856","51.856","51.856","51.856","0.35%"
"11/20/2019","51.673","51.673","51.673","51.673","0.12%"
"11/19/2019","51.612","51.612","51.612","51.612","0.12%"
"11/15/2019","51.551","51.551","51.551","51.551","0.12%"
"11/14/2019","51.491","51.491","51.491","51.491","0.47%"
"11/13/2019","51.251","51.251","51.251","51.251","0.12%"
"11/12/2019","51.192","51.192","51.192","51.192","0.12%"
"11/11/2019","51.132","51.132","51.132","51.132","0.12%"
"11/08/2019","51.073","51.073","51.073","51.073","0.12%"
"11/07/2019","51.014","51.014","51.014","51.014","0.34%"
"11/06/2019","50.839","50.839","50.839","50.839","0.11%"
"11/05/2019","50.781","50.781","50.781","50.781","0.11%"
"11/04/2019","50.723","50.723","50.723","50.723","0.11%"
"11/01/2019","50.665","50.665","50.665","50.665","1.97%"
"10/31/2019","49.688","49.688","49.688","49.688","0.34%"
"10/30/2019","49.522","49.522","49.522","49.522","0.11%"
"10/29/2019","49.467","49.467","49.467","49.467","0.00%"
"10/28/2019","49.467","49.467","49.467","49.467","0.11%"
"10/25/2019","49.412","49.412","49.412","49.412","0.11%"
"10/24/2019","49.357","49.357","49.357","49.357","0.33%"
"10/23/2019","49.194","49.194","49.194","49.194","0.11%"
"10/22/2019","49.140","49.140","49.140","49.140","0.11%"
"10/21/2019","49.086","49.086","49.086","49.086","0.11%"
"10/18/2019","49.032","49.032","49.032","49.032","0.11%"
"10/17/2019","48.979","48.979","48.979","48.979","0.33%"
"10/16/2019","48.819","48.819","48.819","48.819","0.11%"
"10/15/2019","48.766","48.766","48.766","48.766","0.13%"
"10/11/2019","48.701","48.701","48.701","48.701","76.50%"
"10/10/2019","27.592","27.592","27.592","27.592","0.34%"
"10/09/2019","27.498","27.498","27.498","27.498","0.09%"
"10/08/2019","27.474","27.474","27.474","27.474","0.08%"
"10/07/2019","27.451","27.451","27.451","27.451","0.09%"
"10/04/2019","27.427","27.427","27.427","27.427","5.65%"
"10/03/2019","25.960","25.960","25.960","25.960","0.25%"
"10/02/2019","25.896","25.896","25.896","25.896","0.09%"
"10/01/2019","25.874","25.874","25.874","25.874","0.08%"
"09/30/2019","25.853","25.853","25.853","25.853","0.08%"
"09/27/2019","25.832","25.832","25.832","25.832","0.09%"
"09/26/2019","25.810","25.810","25.810","25.810","0.24%"
"09/25/2019","25.747","25.747","25.747","25.747","0.08%"
"09/24/2019","25.726","25.726","25.726","25.726","0.08%"
"09/23/2019","25.705","25.705","25.705","25.705","0.08%"
"09/20/2019","25.684","25.684","25.684","25.684","0.08%"
"09/19/2019","25.663","25.663","25.663","25.663","0.25%"
"09/18/2019","25.600","25.600","25.600","25.600","0.08%"
"09/17/2019","25.579","25.579","25.579","25.579","0.08%"
"09/16/2019","25.559","25.559","25.559","25.559","0.08%"
"09/13/2019","25.538","25.538","25.538","25.538","0.08%"
"09/12/2019","25.517","25.517","25.517","25.517","0.24%"
"09/11/2019","25.455","25.455","25.455","25.455","0.08%"
"09/10/2019","25.435","25.435","25.435","25.435","0.08%"
"09/09/2019","25.414","25.414","25.414","25.414","0.08%"
"09/06/2019","25.394","25.394","25.394","25.394","0.08%"
"09/05/2019","25.374","25.374","25.374","25.374","0.24%"
"09/04/2019","25.313","25.313","25.313","25.313","0.08%"
"09/03/2019","25.292","25.292","25.292","25.292","0.08%"
"09/02/2019","25.272","25.272","25.272","25.272","0.08%"
"08/30/2019","25.252","25.252","25.252","25.252","0.08%"
"08/29/2019","25.232","25.232","25.232","25.232","0.16%"
"08/28/2019","25.192","25.192","25.192","25.192","0.08%"
"08/27/2019","25.172","25.172","25.172","25.172","0.08%"
"08/26/2019","25.152","25.152","25.152","25.152","0.08%"
"08/23/2019","25.132","25.132","25.132","25.132","0.08%"
"08/22/2019","25.112","25.112","25.112","25.112","0.24%"
"08/21/2019","25.053","25.053","25.053","25.053","0.08%"
"08/20/2019","25.033","25.033","25.033","25.033","0.08%"
"08/16/2019","25.013","25.013","25.013","25.013","0.08%"
"08/15/2019","24.994","24.994","24.994","24.994","0.32%"
"08/14/2019","24.915","24.915","24.915","24.915","0.08%"
"08/13/2019","24.896","24.896","24.896","24.896","0.08%"
"08/12/2019","24.876","24.876","24.876","24.876","0.08%"
"08/09/2019","24.857","24.857","24.857","24.857","0.08%"
"08/08/2019","24.838","24.838","24.838","24.838","0.23%"
"08/07/2019","24.780","24.780","24.780","24.780","0.08%"
"08/06/2019","24.761","24.761","24.761","24.761","0.08%"
"08/05/2019","24.742","24.742","24.742","24.742","0.08%"
"08/02/2019","24.722","24.722","24.722","24.722","0.08%"
"08/01/2019","24.703","24.703","24.703","24.703","0.23%"
"07/31/2019","24.646","24.646","24.646","24.646","0.08%"
"07/30/2019","24.627","24.627","24.627","24.627","0.08%"
"07/29/2019","24.608","24.608","24.608","24.608","0.00%"
"07/26/2019","24.608","24.608","24.608","24.608","0.08%"
"07/25/2019","24.589","24.589","24.589","24.589","0.23%"
"07/24/2019","24.533","24.533","24.533","24.533","0.08%"
"07/23/2019","24.514","24.514","24.514","24.514","0.08%"
"07/22/2019","24.495","24.495","24.495","24.495","0.08%"
"07/19/2019","24.476","24.476","24.476","24.476","0.07%"
"07/18/2019","24.458","24.458","24.458","24.458","0.23%"
"07/17/2019","24.402","24.402","24.402","24.402","0.07%"
"07/16/2019","24.384","24.384","24.384","24.384","0.08%"
"07/15/2019","24.365","24.365","24.365","24.365","0.07%"
"07/12/2019","24.347","24.347","24.347","24.347","0.08%"
"07/11/2019","24.328","24.328","24.328","24.328","0.23%"
"07/10/2019","24.273","24.273","24.273","24.273","0.07%"
"07/05/2019","24.255","24.255","24.255","24.255","0.08%"
"07/04/2019","24.236","24.236","24.236","24.236","0.37%"
"07/03/2019","24.146","24.146","24.146","24.146","0.07%"
"07/02/2019","24.128","24.128","24.128","24.128","0.07%"
"07/01/2019","24.110","24.110","24.110","24.110","0.07%"
"06/28/2019","24.092","24.092","24.092","24.092","0.07%"
"06/27/2019","24.074","24.074","24.074","24.074","0.22%"
"06/26/2019","24.020","24.020","24.020","24.020","0.07%"
"06/25/2019","24.002","24.002","24.002","24.002","0.08%"
"06/24/2019","23.984","23.984","23.984","23.984","0.08%"
"06/21/2019","23.966","23.966","23.966","23.966","0.07%"
"06/19/2019","23.949","23.949","23.949","23.949","0.22%"
"06/18/2019","23.896","23.896","23.896","23.896","0.15%"
"06/14/2019","23.860","23.860","23.860","23.860","0.07%"
"06/13/2019","23.843","23.843","23.843","23.843","0.29%"
"06/12/2019","23.773","23.773","23.773","23.773","0.07%"
"06/11/2019","23.756","23.756","23.756","23.756","0.08%"
"06/10/2019","23.738","23.738","23.738","23.738","0.07%"
"06/07/2019","23.721","23.721","23.721","23.721","0.08%"
"06/06/2019","23.703","23.703","23.703","23.703","0.22%"
"06/05/2019","23.652","23.652","23.652","23.652","0.08%"
"06/04/2019","23.634","23.634","23.634","23.634","0.07%"
"06/03/2019","23.617","23.617","23.617","23.617","0.07%"
"05/31/2019","23.600","23.600","23.600","23.600","0.07%"
"05/30/2019","23.583","23.583","23.583","23.583","0.22%"
"05/29/2019","23.532","23.532","23.532","23.532","0.00%"
"05/28/2019","23.532","23.532","23.532","23.532","0.07%"
"05/27/2019","23.515","23.515","23.515","23.515","0.07%"
"05/24/2019","23.498","23.498","23.498","23.498","0.07%"
"05/23/2019","23.481","23.481","23.481","23.481","0.22%"
"05/22/2019","23.430","23.430","23.430","23.430","0.07%"
"05/21/2019","23.413","23.413","23.413","23.413","0.07%"
"05/20/2019","23.397","23.397","23.397","23.397","0.07%"
"05/17/2019","23.380","23.380","23.380","23.380","0.07%"
"05/16/2019","23.363","23.363","23.363","23.363","0.21%"
"05/15/2019","23.313","23.313","23.313","23.313","0.07%"
"05/14/2019","23.296","23.296","23.296","23.296","0.07%"
"05/13/2019","23.280","23.280","23.280","23.280","0.07%"
