"Date","Price","Open","High","Low","Change %"
"06/02/2026","5.570","5.570","5.570","5.570","0.36%"
"06/01/2026","5.550","5.520","5.550","5.520","0.45%"
"05/29/2026","5.525","5.520","5.525","5.520","0.09%"
"05/28/2026","5.520","5.580","5.580","5.520","-1.08%"
"05/27/2026","5.580","5.565","5.580","5.565","0.27%"
"05/26/2026","5.565","5.560","5.565","5.560","-0.45%"
"05/25/2026","5.590","5.620","5.620","5.590","-0.36%"
"05/22/2026","5.610","5.600","5.610","5.600","0.09%"
"05/20/2026","5.605","5.580","5.605","5.580","0.45%"
"05/19/2026","5.580","5.540","5.580","5.540","0.72%"
"05/18/2026","5.540","5.530","5.540","5.530","0.18%"
"05/15/2026","5.530","5.530","5.530","5.530","0.00%"
"05/14/2026","5.530","5.540","5.540","5.530","-0.18%"
"05/13/2026","5.540","5.550","5.550","5.540","-0.18%"
"05/12/2026","5.550","5.520","5.550","5.520","0.54%"
"05/11/2026","5.520","5.600","5.600","5.520","-1.43%"
"05/08/2026","5.600","5.610","5.610","5.600","-0.18%"
"05/07/2026","5.610","5.620","5.620","5.610","-0.18%"
"05/06/2026","5.620","5.670","5.670","5.620","-0.88%"
"05/05/2026","5.670","5.670","5.670","5.670","0.53%"
"05/04/2026","5.640","5.610","5.640","5.610","0.53%"
"04/30/2026","5.610","5.610","5.610","5.610","0.54%"
"04/29/2026","5.580","5.580","5.580","5.580","1.31%"
"04/28/2026","5.508","5.458","5.508","5.458","1.01%"
"04/27/2026","5.453","5.440","5.453","5.435","0.15%"
"04/24/2026","5.445","5.460","5.460","5.440","-0.27%"
"04/23/2026","5.460","5.370","5.460","5.370","1.68%"
"04/22/2026","5.370","5.360","5.370","5.360","0.19%"
"04/21/2026","5.360","5.340","5.360","5.340","0.37%"
"04/20/2026","5.340","5.340","5.340","5.340","0.00%"
"04/17/2026","5.340","5.375","5.375","5.340","-0.65%"
"04/16/2026","5.375","5.360","5.375","5.360","0.00%"
"04/15/2026","5.375","5.390","5.390","5.375","-0.65%"
"04/14/2026","5.410","5.430","5.430","5.410","-0.64%"
"04/13/2026","5.445","5.450","5.460","5.445","-0.18%"
"04/10/2026","5.455","5.450","5.455","5.450","-0.46%"
"04/09/2026","5.480","5.510","5.510","5.480","-1.08%"
"04/08/2026","5.540","5.570","5.570","5.540","-0.54%"
"04/07/2026","5.570","5.565","5.570","5.565","0.09%"
"04/06/2026","5.565","5.620","5.620","5.560","0.09%"
"04/02/2026","5.560","5.560","5.560","5.560","-0.54%"
"04/01/2026","5.590","5.650","5.650","5.590","-0.80%"
