"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","1,426.75","1,427.50","1,434.00","1,420.50","","-0.04%"
"06/01/2026","1,427.25","1,412.50","1,427.25","1,407.50","","0.98%"
"05/31/2026","1,413.41","1,412.75","1,413.41","1,412.14","","0.31%"
"05/29/2026","1,409.00","1,414.00","1,420.00","1,403.75","","-0.04%"
"05/28/2026","1,409.50","1,419.00","1,421.00","1,409.25","","-0.19%"
"05/27/2026","1,412.25","1,412.50","1,418.50","1,404.50","","0.12%"
"05/26/2026","1,410.50","1,410.00","1,415.00","1,403.00","","0.68%"
"05/25/2026","1,401.00","1,401.00","1,401.00","1,401.00","","0.00%"
"05/22/2026","1,401.00","1,392.50","1,402.00","1,383.75","","0.81%"
"05/21/2026","1,389.75","1,400.00","1,402.75","1,389.00","","-0.54%"
"05/20/2026","1,397.25","1,401.50","1,403.13","1,396.25","","-0.09%"
"05/19/2026","1,398.50","1,397.50","1,404.75","1,391.50","","0.18%"
"05/18/2026","1,396.00","1,402.25","1,402.75","1,389.75","","0.07%"
"05/15/2026","1,395.00","1,396.00","1,401.75","1,389.50","","0.23%"
"05/14/2026","1,391.75","1,395.50","1,401.00","1,388.50","","-0.02%"
"05/13/2026","1,392.00","1,387.50","1,396.00","1,380.00","","0.51%"
"05/12/2026","1,385.00","1,397.50","1,399.25","1,384.00","","-0.59%"
"05/11/2026","1,393.25","1,402.50","1,405.50","1,393.25","","-0.34%"
"05/08/2026","1,398.00","1,397.50","1,401.25","1,389.50","","0.18%"
"05/07/2026","1,395.50","1,387.50","1,397.75","1,379.50","","0.56%"
"05/06/2026","1,387.75","1,402.50","1,402.50","1,384.00","","-0.36%"
"05/05/2026","1,392.75","1,400.00","1,407.00","1,389.00","","-0.66%"
"05/04/2026","1,402.00","1,390.00","1,403.75","1,384.00","","0.68%"
"05/01/2026","1,392.50","1,378.88","1,392.50","1,378.88","","0.00%"
"04/30/2026","1,392.50","1,397.50","1,400.50","1,376.50","","0.11%"
"04/29/2026","1,391.00","1,403.00","1,403.50","1,388.50","","-0.98%"
"04/28/2026","1,404.75","1,417.00","1,420.00","1,402.50","","-0.83%"
"04/27/2026","1,416.50","1,405.00","1,417.50","1,397.00","","1.25%"
"04/24/2026","1,399.00","1,396.00","1,402.00","1,390.50","","0.45%"
"04/23/2026","1,392.75","1,383.25","1,392.75","1,379.75","","1.03%"
"04/22/2026","1,378.50","1,380.00","1,384.75","1,373.00","","0.27%"
"04/21/2026","1,374.75","1,380.00","1,390.50","1,372.75","","-0.15%"
"04/20/2026","1,376.75","1,370.00","1,378.00","1,362.00","","0.88%"
"04/17/2026","1,364.75","1,355.00","1,369.00","1,345.50","","0.63%"
"04/16/2026","1,356.25","1,347.50","1,362.88","1,340.75","","-0.17%"
"04/15/2026","1,358.50","1,367.50","1,373.63","1,354.50","","-0.55%"
"04/14/2026","1,366.00","1,355.00","1,367.00","1,346.25","","0.83%"
"04/13/2026","1,354.75","1,368.25","1,377.50","1,354.50","","-1.17%"
"04/10/2026","1,370.75","1,387.50","1,391.75","1,370.75","","-0.81%"
"04/09/2026","1,382.00","1,390.00","1,396.50","1,378.25","","-0.36%"
"04/08/2026","1,387.00","1,397.50","1,402.38","1,381.00","","-0.43%"
"04/07/2026","1,393.00","1,395.00","1,403.00","1,386.75","","-0.02%"
"04/06/2026","1,393.25","1,397.50","1,402.00","1,384.38","","0.49%"
"04/03/2026","1,386.50","1,386.50","1,386.50","1,386.45","","0.01%"
"04/02/2026","1,386.42","1,386.38","1,386.42","1,386.38","","-0.38%"
"04/01/2026","1,391.75","1,376.50","1,393.00","1,375.50","","0.67%"
"03/31/2026","1,382.50","1,400.00","1,401.00","1,380.00","","-1.13%"
"03/30/2026","1,398.25","1,385.00","1,398.50","1,374.00","","0.92%"
"03/27/2026","1,385.50","1,372.50","1,385.50","1,368.00","","1.28%"
"03/26/2026","1,368.00","1,380.00","1,385.00","1,367.00","","-0.64%"
"03/25/2026","1,376.75","1,397.45","1,398.53","1,375.00","","-1.48%"
"03/24/2026","1,397.45","1,397.05","1,397.45","1,397.05","","0.03%"
"03/23/2026","1,397.05","1,397.00","1,397.05","1,397.00","","0.40%"
"03/20/2026","1,391.50","1,400.00","1,403.38","1,390.75","","-0.25%"
"03/19/2026","1,395.00","1,401.00","1,405.00","1,393.25","","0.04%"
"03/18/2026","1,394.50","1,403.00","1,405.50","1,394.50","","-0.13%"
"03/17/2026","1,396.25","1,402.50","1,404.00","1,393.25","","-0.02%"
"03/16/2026","1,396.50","1,402.50","1,404.63","1,392.75","","-0.13%"
"03/13/2026","1,398.25","1,402.25","1,405.00","1,389.00","","0.20%"
"03/12/2026","1,395.50","1,400.00","1,403.50","1,394.25","","0.00%"
"03/11/2026","1,395.50","1,400.00","1,407.28","1,392.25","","-0.29%"
"03/10/2026","1,399.50","1,416.00","1,416.50","1,399.25","","-1.15%"
"03/09/2026","1,415.75","1,413.00","1,426.00","1,413.00","","0.02%"
"03/06/2026","1,415.50","1,410.00","1,417.50","1,405.05","","0.57%"
"03/05/2026","1,407.50","1,400.00","1,410.45","1,395.50","","0.43%"
"03/04/2026","1,401.50","1,417.00","1,417.00","1,399.00","","-0.95%"
"03/03/2026","1,415.00","1,405.50","1,415.50","1,401.50","","1.51%"
"03/02/2026","1,394.00","1,420.00","1,420.50","1,392.00","","-0.21%"
"02/27/2026","1,397.00","1,407.50","1,419.00","1,397.00","","-0.82%"
"02/26/2026","1,408.50","1,400.00","1,423.50","1,399.63","","0.79%"
"02/25/2026","1,397.50","1,379.00","1,397.50","1,375.00","","1.29%"
"02/24/2026","1,379.75","1,375.00","1,380.00","1,372.00","","0.77%"
"02/23/2026","1,369.25","1,376.00","1,376.00","1,362.00","","-0.47%"
"02/20/2026","1,375.75","1,388.00","1,393.24","1,373.00","","-1.06%"
"02/19/2026","1,390.50","1,397.50","1,400.00","1,389.00","","-0.47%"
"02/18/2026","1,397.00","1,402.00","1,406.00","1,393.50","","0.25%"
"02/17/2026","1,393.50","1,393.50","1,393.55","1,393.45","","-0.41%"
"02/16/2026","1,399.25","1,399.25","1,399.25","1,399.25","","0.00%"
"02/13/2026","1,399.25","1,401.00","1,403.00","1,391.75","","0.16%"
"02/12/2026","1,397.00","1,401.00","1,402.00","1,391.00","","-0.53%"
"02/11/2026","1,404.50","1,409.50","1,411.00","1,398.80","","0.04%"
"02/10/2026","1,404.00","1,417.00","1,418.50","1,400.50","","-0.88%"
"02/09/2026","1,416.50","1,431.50","1,434.74","1,416.50","","-1.07%"
"02/06/2026","1,431.79","1,442.28","1,443.50","1,426.00","","-0.73%"
"02/05/2026","1,442.28","1,447.75","1,450.50","1,442.28","","-0.38%"
"02/04/2026","1,447.75","1,448.00","1,450.50","1,445.25","","0.19%"
"02/03/2026","1,445.00","1,452.50","1,452.50","1,444.00","","-0.48%"
"02/02/2026","1,452.00","1,448.50","1,452.75","1,447.50","","0.35%"
"01/30/2026","1,447.00","1,444.04","1,448.50","1,441.55","","0.20%"
"01/29/2026","1,444.04","1,447.00","1,448.00","1,443.50","","-0.03%"
"01/28/2026","1,444.50","1,442.00","1,445.50","1,438.00","","0.12%"
"01/27/2026","1,442.75","1,438.00","1,443.75","1,436.50","","0.35%"
"01/26/2026","1,437.75","1,432.00","1,442.00","1,432.00","","0.23%"
"01/23/2026","1,434.50","1,430.00","1,434.50","1,428.00","","0.37%"
"01/22/2026","1,429.25","1,430.00","1,432.00","1,424.50","","-0.05%"
"01/21/2026","1,430.00","1,434.25","1,436.12","1,427.50","","-0.30%"
"01/20/2026","1,434.25","1,434.00","1,437.50","1,432.13","","-0.12%"
"01/19/2026","1,436.00","1,429.00","1,436.00","1,428.00","","0.45%"
"01/16/2026","1,429.50","1,439.00","1,440.50","1,426.50","","-0.87%"
"01/15/2026","1,442.00","1,451.00","1,453.00","1,441.75","","-0.79%"
"01/14/2026","1,453.50","1,455.00","1,459.25","1,451.25","","-0.34%"
"01/13/2026","1,458.50","1,465.00","1,469.00","1,456.50","","-0.61%"
"01/12/2026","1,467.50","1,461.50","1,468.75","1,461.50","","0.19%"
"01/09/2026","1,464.75","1,461.00","1,468.50","1,461.00","","0.09%"
"01/08/2026","1,463.50","1,462.00","1,463.50","1,457.25","","0.21%"
"01/07/2026","1,460.50","1,469.50","1,472.25","1,459.75","","-0.46%"
"01/06/2026","1,467.25","1,468.00","1,472.50","1,464.38","","-0.17%"
"01/05/2026","1,469.75","1,475.00","1,478.50","1,467.50","","-0.34%"
"01/02/2026","1,474.75","1,460.00","1,475.25","1,457.50","","1.60%"
"01/01/2026","1,451.50","1,451.50","1,451.50","1,451.50","","0.00%"
"12/31/2025","1,451.50","1,451.50","1,451.50","1,451.50","","0.00%"
"12/30/2025","1,451.50","1,456.00","1,461.50","1,451.00","","-0.38%"
"12/29/2025","1,457.00","1,448.00","1,457.25","1,443.76","","0.31%"
"12/26/2025","1,452.50","1,450.00","1,453.50","1,448.25","","0.14%"
"12/25/2025","1,450.50","1,450.50","1,450.50","1,450.50","","0.00%"
"12/24/2025","1,450.50","1,450.50","1,450.50","1,450.50","","0.00%"
"12/23/2025","1,450.50","1,451.00","1,452.00","1,449.25","","-0.09%"
"12/22/2025","1,451.75","1,448.00","1,453.00","1,446.00","","0.17%"
"12/19/2025","1,449.25","1,452.50","1,454.00","1,449.00","","-0.10%"
"12/18/2025","1,450.75","1,452.00","1,454.63","1,450.00","","0.00%"
"12/17/2025","1,450.75","1,452.50","1,455.50","1,447.00","","0.03%"
"12/16/2025","1,450.25","1,472.50","1,472.50","1,444.50","","0.83%"
"12/15/2025","1,438.25","1,440.00","1,443.00","1,436.75","","-0.17%"
"12/12/2025","1,440.75","1,436.00","1,441.25","1,434.00","","0.30%"
"12/11/2025","1,436.50","1,436.50","1,442.00","1,435.75","","-0.09%"
"12/10/2025","1,437.75","1,440.00","1,443.25","1,434.00","","-0.16%"
"12/09/2025","1,440.00","1,435.00","1,442.00","1,433.50","","0.38%"
"12/08/2025","1,434.50","1,434.50","1,434.50","1,434.50","","0.03%"
"12/05/2025","1,434.00","1,440.00","1,447.99","1,432.50","","-0.83%"
"12/04/2025","1,446.00","1,452.50","1,456.50","1,443.00","","-0.48%"
"12/03/2025","1,453.00","1,455.00","1,457.37","1,451.75","","-0.24%"
"12/02/2025","1,456.50","1,455.00","1,458.00","1,451.50","","0.36%"
"12/01/2025","1,451.25","1,450.00","1,453.25","1,447.00","","0.07%"
"11/28/2025","1,450.25","1,452.50","1,456.25","1,447.50","","-0.02%"
"11/27/2025","1,450.50","1,456.00","1,456.00","1,442.00","","-0.15%"
"11/26/2025","1,452.75","1,447.50","1,457.49","1,442.25","","0.36%"
"11/25/2025","1,447.50","1,424.40","1,452.75","1,420.75","","1.62%"
"11/24/2025","1,424.40","1,424.50","1,424.50","1,424.40","","-0.01%"
"11/21/2025","1,424.50","1,424.50","1,424.50","1,424.50","","0.00%"
"11/20/2025","1,424.50","1,410.00","1,425.50","1,406.00","","1.24%"
"11/19/2025","1,407.00","1,400.00","1,408.00","1,394.50","","0.46%"
"11/18/2025","1,400.50","1,390.00","1,401.00","1,384.50","","0.97%"
"11/17/2025","1,387.00","1,395.00","1,407.00","1,383.00","","-1.18%"
"11/14/2025","1,403.50","1,405.00","1,413.50","1,396.50","","-0.32%"
"11/13/2025","1,408.00","1,407.50","1,418.00","1,396.50","","-0.04%"
"11/12/2025","1,408.50","1,412.50","1,417.00","1,390.00","","-0.11%"
"11/11/2025","1,410.00","1,419.99","1,431.00","1,407.50","","-0.70%"
"11/10/2025","1,419.99","1,425.00","1,436.75","1,408.00","","0.21%"
"11/07/2025","1,417.00","1,450.00","1,460.00","1,417.00","","-2.33%"
"11/06/2025","1,450.75","1,450.75","1,450.99","1,449.51","","0.00%"
"11/05/2025","1,450.75","1,455.00","1,457.50","1,442.50","","-0.48%"
"11/04/2025","1,457.75","1,482.50","1,487.75","1,455.25","","-1.52%"
"11/03/2025","1,480.25","1,445.00","1,480.75","1,436.50","","2.35%"
"10/31/2025","1,446.25","1,454.00","1,460.00","1,427.26","","0.47%"
"10/30/2025","1,439.50","1,440.00","1,452.50","1,424.76","","0.14%"
"10/29/2025","1,437.50","1,465.00","1,470.00","1,436.50","","-2.44%"
"10/28/2025","1,473.50","1,435.00","1,486.50","1,430.00","","2.86%"
"10/27/2025","1,432.50","1,345.00","1,432.50","1,332.50","","-3.97%"
"10/24/2025","1,491.75","1,481.25","1,492.25","1,475.00","","0.59%"
"10/23/2025","1,483.00","1,489.50","1,490.00","1,477.50","","-0.37%"
"10/22/2025","1,488.50","1,490.75","1,490.75","1,476.75","","-0.12%"
"10/21/2025","1,490.25","1,482.50","1,490.50","1,475.88","","0.86%"
"10/20/2025","1,477.50","1,465.00","1,478.37","1,455.00","","1.37%"
"10/17/2025","1,457.50","1,415.00","1,471.50","1,407.50","","3.70%"
"10/16/2025","1,405.50","1,380.00","1,413.00","1,365.00","","3.23%"
"10/15/2025","1,361.50","1,375.00","1,395.00","1,356.00","","0.29%"
"10/14/2025","1,357.50","1,355.00","1,374.50","1,347.00","","0.67%"
"10/13/2025","1,348.50","1,427.50","1,427.50","1,335.50","","-5.14%"
"10/10/2025","1,421.50","1,421.50","1,421.50","1,421.50","","0.00%"
"10/09/2025","1,421.50","1,450.00","1,469.00","1,417.00","","-0.58%"
"10/08/2025","1,429.75","1,429.75","1,429.75","1,429.75","","0.00%"
"10/07/2025","1,429.75","1,429.75","1,429.75","1,429.75","","0.00%"
"10/06/2025","1,429.75","1,427.25","1,429.87","1,427.13","","0.35%"
"10/03/2025","1,424.75","1,420.00","1,424.87","1,419.88","","0.02%"
"10/02/2025","1,424.50","1,420.00","1,424.87","1,419.75","","0.07%"
"10/01/2025","1,423.50","1,405.00","1,427.25","1,401.00","","3.17%"
"09/30/2025","1,379.75","1,342.50","1,379.75","1,339.00","","1.60%"
"09/29/2025","1,358.00","1,350.00","1,365.50","1,328.50","","2.14%"
"09/26/2025","1,329.50","1,335.00","1,345.00","1,320.00","","-0.75%"
"09/25/2025","1,339.50","1,330.00","1,344.00","1,312.50","","0.15%"
"09/24/2025","1,337.50","1,347.50","1,368.50","1,328.25","","-2.19%"
"09/23/2025","1,367.50","1,397.50","1,397.50","1,348.50","","-3.03%"
"09/22/2025","1,410.25","1,475.25","1,475.25","1,407.50","","-4.37%"
"09/19/2025","1,474.75","1,474.75","1,475.00","1,474.75","","0.03%"
"09/18/2025","1,474.25","1,472.25","1,474.37","1,472.13","","0.03%"
"09/17/2025","1,473.75","1,465.00","1,474.37","1,465.00","","0.29%"
"09/16/2025","1,469.50","1,464.50","1,471.50","1,459.00","","0.24%"
"09/15/2025","1,466.00","1,460.00","1,471.75","1,453.50","","0.81%"
"09/12/2025","1,454.25","1,437.50","1,458.80","1,435.00","","1.50%"
"09/11/2025","1,432.75","1,430.00","1,436.25","1,423.00","","0.61%"
"09/10/2025","1,424.00","1,415.00","1,426.75","1,408.00","","0.56%"
"09/09/2025","1,416.00","1,406.00","1,423.00","1,405.50","","-0.49%"
"09/08/2025","1,423.00","1,420.00","1,442.50","1,409.50","","4.25%"
"09/05/2025","1,365.00","1,365.00","1,371.37","1,360.00","","0.18%"
"09/04/2025","1,362.50","1,353.50","1,362.88","1,353.50","","0.09%"
"09/03/2025","1,361.25","1,352.00","1,362.00","1,351.00","","0.13%"
"09/02/2025","1,359.50","1,380.00","1,384.00","1,358.00","","-1.25%"
"09/01/2025","1,376.75","1,341.00","1,384.50","1,341.00","","2.21%"
"08/29/2025","1,347.00","1,320.00","1,348.00","1,312.50","","0.97%"
"08/28/2025","1,334.00","1,350.00","1,353.00","1,332.50","","-1.26%"
"08/27/2025","1,351.00","1,360.00","1,367.50","1,350.00","","-0.37%"
"08/26/2025","1,356.00","1,362.50","1,367.50","1,349.25","","-0.22%"
"08/25/2025","1,359.00","1,322.50","1,359.00","1,322.50","","2.88%"
"08/22/2025","1,321.00","1,317.50","1,326.50","1,312.26","","0.49%"
"08/21/2025","1,314.50","1,302.50","1,315.00","1,296.76","","1.08%"
"08/20/2025","1,300.50","1,300.00","1,306.00","1,293.50","","0.70%"
"08/19/2025","1,291.50","1,297.50","1,304.24","1,288.50","","-0.10%"
"08/18/2025","1,292.75","1,302.00","1,308.50","1,291.50","","-0.44%"
"08/15/2025","1,298.50","1,298.50","1,298.50","1,298.50","","0.00%"
"08/14/2025","1,298.50","1,317.50","1,321.50","1,288.50","","-1.16%"
"08/13/2025","1,313.75","1,317.50","1,326.75","1,311.00","","-0.23%"
"08/12/2025","1,316.75","1,322.50","1,326.50","1,316.00","","-0.34%"
"08/11/2025","1,321.25","1,330.00","1,336.25","1,321.00","","-0.32%"
"08/08/2025","1,325.50","1,330.00","1,333.00","1,321.25","","-0.06%"
"08/07/2025","1,326.25","1,337.50","1,341.25","1,325.75","","-0.39%"
"08/06/2025","1,331.50","1,337.50","1,340.00","1,331.00","","-0.58%"
"08/05/2025","1,339.25","1,357.00","1,358.00","1,334.50","","-1.34%"
"08/04/2025","1,357.50","1,357.50","1,365.00","1,352.25","","-0.44%"
"08/01/2025","1,363.50","1,348.50","1,369.99","1,346.00","","-0.58%"
"07/31/2025","1,371.50","1,315.00","1,374.00","1,315.00","","3.90%"
"07/30/2025","1,320.00","1,289.50","1,320.00","1,287.00","","2.21%"
"07/29/2025","1,291.50","1,290.00","1,301.25","1,285.00","","-0.19%"
"07/28/2025","1,294.00","1,273.50","1,294.50","1,273.50","","1.03%"
"07/25/2025","1,280.75","1,272.50","1,286.00","1,267.50","","0.61%"
"07/24/2025","1,273.00","1,257.50","1,274.00","1,254.50","","1.15%"
"07/23/2025","1,258.50","1,257.50","1,263.00","1,254.00","","0.24%"
"07/22/2025","1,255.50","1,275.00","1,280.00","1,252.51","","-1.45%"
"07/21/2025","1,274.00","1,285.00","1,294.00","1,274.00","","-0.89%"
"07/18/2025","1,285.50","1,270.00","1,286.00","1,270.00","","0.92%"
"07/17/2025","1,273.75","1,261.00","1,277.00","1,251.50","","0.97%"
