"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","889.02","891.43","893.00","886.20","","-0.35%"
"06/01/2026","892.15","891.43","896.67","887.05","","0.26%"
"05/29/2026","889.80","891.65","893.47","888.35","","-0.21%"
"05/28/2026","891.65","894.08","897.18","889.07","","-0.27%"
"05/27/2026","894.08","894.30","897.03","891.84","","-0.02%"
"05/26/2026","894.30","895.50","899.01","892.59","","-0.13%"
"05/25/2026","895.50","894.00","895.94","890.34","","-0.66%"
"05/22/2026","901.48","898.73","903.82","894.67","","0.31%"
"05/21/2026","898.73","898.34","904.67","897.10","","0.04%"
"05/20/2026","898.34","907.15","907.40","895.74","","-0.97%"
"05/19/2026","907.15","900.40","909.83","900.40","","0.75%"
"05/18/2026","900.40","904.15","907.75","898.05","","-1.03%"
"05/15/2026","909.78","896.47","911.33","894.00","","1.48%"
"05/14/2026","896.47","887.94","896.50","883.47","","0.96%"
"05/13/2026","887.94","896.40","896.86","885.21","","-0.94%"
"05/12/2026","896.40","897.98","903.76","896.20","","-0.18%"
"05/11/2026","897.98","891.63","899.58","889.45","","0.54%"
"05/08/2026","893.13","893.38","894.42","886.27","","-0.03%"
"05/07/2026","893.38","892.13","896.00","883.87","","0.14%"
"05/06/2026","892.13","906.13","906.40","886.50","","-1.55%"
"05/05/2026","906.13","911.45","914.00","902.88","","-0.58%"
"05/04/2026","911.45","899.35","916.08","899.25","","1.30%"
"05/01/2026","899.75","899.33","900.05","899.28","","0.05%"
"04/30/2026","899.33","906.67","907.87","897.85","","-0.81%"
"04/29/2026","906.67","888.97","908.75","888.60","","1.99%"
"04/28/2026","888.97","894.48","903.20","886.40","","-0.62%"
"04/27/2026","894.48","895.25","896.59","889.51","","-0.08%"
"04/24/2026","895.23","898.15","898.45","892.70","","-0.33%"
"04/23/2026","898.15","888.65","899.15","888.05","","1.07%"
"04/22/2026","888.65","890.95","893.21","886.10","","-0.26%"
"04/21/2026","890.95","882.88","895.99","881.07","","0.91%"
"04/20/2026","882.88","879.16","884.64","877.50","","0.42%"
"04/17/2026","879.16","887.00","887.00","873.42","","-0.88%"
"04/16/2026","886.95","886.35","890.07","883.77","","0.16%"
"04/15/2026","885.56","886.51","900.88","883.00","","-0.11%"
"04/14/2026","886.53","894.30","894.32","883.86","","-0.87%"
"04/13/2026","894.30","902.68","905.93","891.41","","-0.41%"
"04/10/2026","898.01","893.78","898.35","885.79","","0.48%"
"04/09/2026","893.76","897.65","900.59","889.33","","-0.43%"
"04/08/2026","897.65","916.66","916.66","888.10","","-2.09%"
"04/07/2026","916.80","918.83","925.77","916.38","","-0.22%"
"04/06/2026","918.83","918.00","919.40","910.87","","-0.13%"
