"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","3,590.79","3,566.47","3,591.94","3,556.17","","1.12%"
"06/01/2026","3,551.06","3,681.10","3,683.81","3,550.84","","-3.20%"
"05/29/2026","3,668.58","3,639.81","3,713.88","3,639.81","","0.81%"
"05/28/2026","3,639.22","3,627.03","3,657.26","3,623.50","","0.27%"
"05/27/2026","3,629.29","3,669.43","3,674.98","3,616.69","","-1.10%"
"05/26/2026","3,669.57","3,636.75","3,685.25","3,613.95","","0.90%"
"05/25/2026","3,636.80","3,685.26","3,685.26","3,629.95","","-1.32%"
"05/22/2026","3,685.36","3,685.53","3,695.14","3,672.87","","0.00%"
"05/21/2026","3,685.28","3,716.68","3,730.12","3,681.20","","-0.88%"
"05/20/2026","3,718.00","3,793.23","3,796.22","3,702.55","","-2.06%"
"05/19/2026","3,796.31","3,800.71","3,817.70","3,792.55","","-0.12%"
"05/18/2026","3,800.73","3,799.15","3,802.46","3,796.71","","0.18%"
"05/15/2026","3,794.01","3,775.00","3,800.00","3,774.71","","0.40%"
"05/14/2026","3,778.95","3,782.83","3,794.93","3,774.79","","-0.10%"
"05/13/2026","3,782.88","3,771.67","3,808.26","3,765.20","","0.47%"
"05/12/2026","3,765.20","3,761.00","3,785.75","3,752.00","","-0.02%"
"05/11/2026","3,766.00","3,740.32","3,770.00","3,736.27","","0.68%"
"05/08/2026","3,740.42","3,731.47","3,743.76","3,722.44","","0.23%"
"05/07/2026","3,732.00","3,713.57","3,750.28","3,697.14","","0.73%"
"05/06/2026","3,705.11","3,700.10","3,765.75","3,678.93","","0.14%"
"05/05/2026","3,700.00","3,726.50","3,736.81","3,698.00","","-0.71%"
"05/04/2026","3,726.50","3,657.30","3,726.50","3,651.12","","1.89%"
"05/01/2026","3,657.40","3,656.50","3,658.11","3,656.50","","-0.13%"
"04/30/2026","3,662.00","3,623.03","3,684.50","3,617.05","","1.05%"
"04/29/2026","3,623.90","3,602.91","3,639.14","3,600.10","","0.55%"
"04/28/2026","3,604.00","3,635.19","3,657.98","3,599.22","","-0.70%"
"04/27/2026","3,629.51","3,556.90","3,637.00","3,554.08","","2.05%"
"04/24/2026","3,556.50","3,563.21","3,563.30","3,555.05","","-0.10%"
"04/23/2026","3,560.10","3,569.03","3,570.33","3,558.00","","-0.02%"
"04/22/2026","3,560.98","3,576.21","3,590.73","3,557.54","","-0.54%"
"04/21/2026","3,580.18","3,571.66","3,587.70","3,559.86","","0.16%"
"04/20/2026","3,574.36","3,605.85","3,606.16","3,563.63","","-0.87%"
"04/17/2026","3,605.55","3,599.00","3,613.74","3,599.00","","-0.08%"
"04/16/2026","3,608.61","3,607.76","3,614.97","3,599.10","","-0.13%"
"04/15/2026","3,613.41","3,582.46","3,630.00","3,571.43","","0.83%"
"04/14/2026","3,583.65","3,600.31","3,604.96","3,572.30","","-0.16%"
"04/13/2026","3,589.50","3,640.04","3,640.65","3,586.78","","-1.47%"
"04/10/2026","3,643.16","3,648.19","3,650.00","3,625.16","","-0.14%"
"04/09/2026","3,648.19","3,664.00","3,665.00","3,633.00","","-0.05%"
"04/08/2026","3,650.00","3,675.52","3,680.28","3,632.99","","-0.71%"
"04/07/2026","3,676.12","3,684.00","3,687.97","3,667.50","","-0.09%"
"04/06/2026","3,679.40","3,668.42","3,683.95","3,663.45","","0.30%"
"04/03/2026","3,668.42","3,666.84","3,668.83","3,657.08","","0.00%"
"04/02/2026","3,668.42","3,661.85","3,670.32","3,655.48","","0.24%"
"04/01/2026","3,659.65","3,668.46","3,701.24","3,650.34","","-0.25%"
"03/31/2026","3,668.94","3,672.54","3,680.00","3,646.03","","0.00%"
"03/30/2026","3,669.03","3,673.97","3,677.31","3,658.81","","-0.14%"
"03/27/2026","3,674.15","3,684.92","3,686.16","3,666.00","","-0.24%"
"03/26/2026","3,683.05","3,698.00","3,703.00","3,674.50","","-0.46%"
"03/25/2026","3,700.21","3,707.68","3,707.68","3,699.90","","-0.12%"
"03/24/2026","3,704.84","3,710.09","3,713.23","3,703.57","","-0.14%"
"03/23/2026","3,710.19","3,696.54","3,719.14","3,696.05","","0.37%"
"03/20/2026","3,696.63","3,692.12","3,705.43","3,664.50","","0.39%"
"03/19/2026","3,682.39","3,699.31","3,717.91","3,673.51","","-0.33%"
"03/18/2026","3,694.65","3,696.39","3,712.88","3,691.91","","-0.04%"
"03/17/2026","3,696.27","3,696.79","3,708.65","3,678.90","","0.11%"
"03/16/2026","3,692.20","3,697.49","3,705.21","3,666.70","","-0.11%"
"03/13/2026","3,696.10","3,685.60","3,713.73","3,657.91","","0.44%"
"03/12/2026","3,680.00","3,704.40","3,729.00","3,674.75","","-0.76%"
"03/11/2026","3,708.08","3,699.93","3,713.41","3,672.80","","0.19%"
"03/10/2026","3,700.92","3,743.44","3,753.28","3,694.28","","-1.16%"
"03/09/2026","3,744.50","3,774.91","3,791.53","3,729.67","","-0.82%"
"03/06/2026","3,775.61","3,774.50","3,806.61","3,770.30","","0.11%"
"03/05/2026","3,771.46","3,747.50","3,802.83","3,747.50","","0.67%"
"03/04/2026","3,746.50","3,787.94","3,803.10","3,732.10","","-1.10%"
"03/03/2026","3,788.29","3,764.69","3,825.01","3,743.99","","1.23%"
"03/02/2026","3,742.25","3,745.27","3,794.19","3,742.25","","-0.08%"
"02/27/2026","3,745.20","3,758.43","3,779.00","3,745.20","","-0.30%"
"02/26/2026","3,756.30","3,697.87","3,786.00","3,687.38","","1.88%"
"02/25/2026","3,687.00","3,703.85","3,716.93","3,679.00","","-0.38%"
"02/24/2026","3,701.10","3,688.92","3,716.00","3,688.67","","0.27%"
"02/23/2026","3,691.00","3,705.63","3,712.10","3,684.32","","-0.38%"
"02/20/2026","3,705.00","3,688.38","3,713.00","3,686.57","","0.38%"
"02/19/2026","3,691.00","3,682.97","3,705.25","3,667.15","","0.26%"
"02/18/2026","3,681.48","3,650.78","3,690.00","3,641.50","","0.89%"
"02/17/2026","3,648.90","3,659.51","3,674.75","3,645.75","","-0.47%"
"02/16/2026","3,666.00","3,660.80","3,669.00","3,645.01","","0.14%"
"02/13/2026","3,660.85","3,665.80","3,667.57","3,650.10","","-0.19%"
"02/12/2026","3,668.00","3,668.71","3,683.35","3,649.84","","0.11%"
"02/11/2026","3,663.98","3,669.66","3,683.05","3,655.00","","-0.06%"
"02/10/2026","3,666.00","3,662.07","3,676.04","3,640.65","","-0.08%"
"02/09/2026","3,669.00","3,684.15","3,684.15","3,659.00","","-0.42%"
"02/06/2026","3,684.65","3,710.34","3,710.84","3,654.50","","-0.12%"
"02/05/2026","3,689.00","3,648.98","3,717.04","3,642.00","","1.22%"
"02/04/2026","3,644.50","3,647.39","3,660.16","3,627.55","","-0.23%"
"02/03/2026","3,653.00","3,632.31","3,663.00","3,593.99","","1.04%"
"02/02/2026","3,615.55","3,680.41","3,680.41","3,600.45","","-1.74%"
"01/30/2026","3,679.70","3,655.06","3,698.54","3,632.70","","1.40%"
"01/29/2026","3,629.00","3,673.62","3,680.53","3,629.00","","-1.20%"
"01/28/2026","3,672.95","3,635.54","3,685.42","3,616.05","","1.41%"
"01/27/2026","3,622.00","3,676.55","3,705.54","3,622.00","","-1.98%"
"01/26/2026","3,695.00","3,644.58","3,695.25","3,642.81","","1.54%"
"01/23/2026","3,639.00","3,603.50","3,667.95","3,592.99","","1.03%"
"01/22/2026","3,602.00","3,675.41","3,676.52","3,591.64","","-1.75%"
"01/21/2026","3,666.10","3,681.23","3,683.70","3,649.89","","-0.35%"
"01/20/2026","3,679.00","3,655.63","3,704.40","3,655.63","","0.55%"
"01/19/2026","3,659.00","3,695.08","3,698.39","3,649.72","","-0.91%"
"01/16/2026","3,692.50","3,685.71","3,714.89","3,685.46","","0.01%"
"01/15/2026","3,692.00","3,677.27","3,711.85","3,667.00","","0.60%"
"01/14/2026","3,670.00","3,647.21","3,686.90","3,616.83","","0.63%"
"01/13/2026","3,647.00","3,712.00","3,715.73","3,625.00","","-1.75%"
"01/12/2026","3,712.00","3,714.39","3,715.55","3,711.00","","-0.08%"
"01/09/2026","3,715.00","3,710.18","3,731.65","3,698.54","","0.05%"
"01/08/2026","3,713.00","3,741.29","3,760.50","3,706.04","","-1.17%"
"01/07/2026","3,757.00","3,713.72","3,771.79","3,713.72","","0.86%"
"01/06/2026","3,725.00","3,764.24","3,766.96","3,704.03","","-0.01%"
"01/05/2026","3,725.50","3,775.24","3,839.00","3,725.50","","-1.32%"
"01/02/2026","3,775.24","3,777.62","3,821.22","3,757.50","","0.12%"
"01/01/2026","3,770.75","3,770.75","3,770.75","3,770.75","","0.00%"
"12/31/2025","3,770.75","3,770.16","3,777.62","3,770.16","","-0.11%"
"12/30/2025","3,775.00","3,748.30","3,800.19","3,714.64","","0.71%"
"12/29/2025","3,748.30","3,697.00","3,750.00","3,682.93","","1.39%"
"12/26/2025","3,697.00","3,724.31","3,736.10","3,687.00","","-0.84%"
"12/25/2025","3,728.15","3,728.15","3,728.15","3,728.15","","-0.28%"
"12/24/2025","3,738.78","3,760.03","3,761.01","3,693.61","","-0.41%"
"12/23/2025","3,754.00","3,794.60","3,795.17","3,739.70","","-0.86%"
"12/22/2025","3,786.50","3,823.85","3,830.39","3,779.36","","-0.49%"
"12/19/2025","3,805.00","3,859.91","3,871.97","3,775.66","","-1.42%"
"12/18/2025","3,859.91","3,864.80","3,897.60","3,850.51","","-0.16%"
"12/17/2025","3,866.00","3,839.44","3,888.00","3,838.29","","0.70%"
"12/16/2025","3,839.00","3,821.60","3,858.75","3,816.43","","0.30%"
"12/15/2025","3,827.55","3,802.72","3,831.56","3,786.26","","0.57%"
"12/12/2025","3,806.00","3,802.72","3,810.65","3,767.97","","0.09%"
"12/11/2025","3,802.72","3,839.78","3,845.72","3,794.25","","-0.89%"
"12/10/2025","3,836.90","3,858.32","3,874.50","3,832.32","","-0.53%"
"12/09/2025","3,857.50","3,822.00","3,870.09","3,822.00","","0.39%"
"12/08/2025","3,842.61","3,834.99","3,842.61","3,818.81","","0.25%"
"12/05/2025","3,833.10","3,799.05","3,851.07","3,797.75","","0.34%"
"12/04/2025","3,820.00","3,763.80","3,820.00","3,729.19","","1.46%"
"12/03/2025","3,765.00","3,816.00","3,816.00","3,760.00","","-1.44%"
"12/02/2025","3,820.00","3,815.61","3,831.09","3,806.64","","0.28%"
"12/01/2025","3,809.30","3,755.35","3,816.58","3,752.50","","1.66%"
"11/28/2025","3,747.25","3,743.55","3,761.50","3,729.04","","0.04%"
"11/27/2025","3,745.63","3,730.00","3,749.99","3,723.32","","0.45%"
"11/26/2025","3,728.75","3,813.30","3,815.76","3,726.00","","-1.93%"
"11/25/2025","3,802.00","3,796.00","3,823.93","3,775.90","","0.32%"
"11/24/2025","3,790.00","3,807.40","3,820.91","3,785.58","","-0.33%"
"11/21/2025","3,802.50","3,763.92","3,824.12","3,756.90","","1.02%"
"11/20/2025","3,763.92","3,708.00","3,765.13","3,708.00","","1.18%"
"11/19/2025","3,719.99","3,722.18","3,731.33","3,703.79","","-0.10%"
"11/18/2025","3,723.60","3,756.50","3,775.85","3,717.61","","-0.88%"
"11/17/2025","3,756.50","3,755.13","3,757.97","3,754.07","","-0.04%"
"11/14/2025","3,758.00","3,753.44","3,793.60","3,744.29","","0.11%"
"11/13/2025","3,754.00","3,707.01","3,756.50","3,684.91","","1.27%"
"11/12/2025","3,707.00","3,736.47","3,736.47","3,703.67","","-0.72%"
"11/11/2025","3,734.00","3,754.50","3,761.01","3,725.68","","-0.54%"
"11/10/2025","3,754.39","3,783.68","3,783.68","3,751.59","","-0.68%"
"11/07/2025","3,780.00","3,785.90","3,793.46","3,767.98","","-0.26%"
"11/06/2025","3,789.90","3,834.50","3,834.50","3,782.69","","-1.16%"
"11/05/2025","3,834.50","3,857.98","3,861.09","3,828.42","","-0.84%"
"11/04/2025","3,867.00","3,873.75","3,885.66","3,854.00","","0.27%"
"11/03/2025","3,856.40","3,854.67","3,858.00","3,854.42","","-0.10%"
"10/31/2025","3,860.12","3,862.40","3,870.93","3,843.68","","0.13%"
"10/30/2025","3,855.00","3,873.60","3,901.50","3,848.03","","-0.57%"
"10/29/2025","3,877.00","3,897.93","3,913.14","3,865.25","","-0.46%"
"10/28/2025","3,895.00","3,845.30","3,898.01","3,840.30","","1.27%"
"10/27/2025","3,846.00","3,852.07","3,862.00","3,830.10","","-0.75%"
"10/24/2025","3,875.00","3,881.00","3,887.00","3,852.05","","-0.13%"
"10/23/2025","3,880.00","3,909.61","3,910.38","3,873.38","","-0.72%"
"10/22/2025","3,908.00","3,884.00","3,920.25","3,880.13","","0.41%"
"10/21/2025","3,892.00","3,877.00","3,907.12","3,849.95","","0.05%"
"10/20/2025","3,890.00","3,831.32","3,892.73","3,831.32","","1.53%"
"10/17/2025","3,831.32","3,844.59","3,844.59","3,766.43","","-0.25%"
"10/16/2025","3,841.00","3,895.05","3,895.09","3,838.00","","-1.32%"
"10/15/2025","3,892.50","3,924.18","3,924.32","3,889.64","","-0.83%"
"10/14/2025","3,925.00","3,923.53","3,948.43","3,920.50","","0.04%"
"10/13/2025","3,923.53","3,923.53","3,923.53","3,923.53","","-0.06%"
"10/10/2025","3,926.00","3,888.00","3,940.34","3,881.15","","1.06%"
"10/09/2025","3,885.00","3,891.88","3,911.27","3,883.52","","-0.08%"
"10/08/2025","3,888.01","3,881.00","3,898.50","3,855.95","","0.26%"
"10/07/2025","3,878.00","3,863.00","3,881.00","3,853.44","","0.45%"
"10/06/2025","3,860.75","3,869.80","3,869.80","3,841.09","","-0.23%"
"10/03/2025","3,869.80","3,885.66","3,898.29","3,862.61","","-0.42%"
"10/02/2025","3,886.00","3,880.00","3,910.11","3,875.01","","0.15%"
"10/01/2025","3,880.00","3,923.00","3,923.50","3,873.00","","-1.10%"
"09/30/2025","3,923.00","3,926.50","3,938.78","3,908.25","","-0.09%"
"09/29/2025","3,926.50","3,901.94","3,929.00","3,887.38","","0.65%"
"09/26/2025","3,901.11","3,904.35","3,919.34","3,886.50","","-0.05%"
"09/25/2025","3,903.00","3,883.30","3,908.00","3,881.48","","0.44%"
"09/24/2025","3,886.00","3,860.25","3,898.43","3,850.91","","0.77%"
"09/23/2025","3,856.25","3,846.20","3,863.68","3,829.27","","0.16%"
"09/22/2025","3,850.00","3,865.45","3,884.16","3,836.97","","-0.85%"
"09/19/2025","3,883.00","3,894.98","3,911.31","3,863.10","","-0.29%"
"09/18/2025","3,894.20","3,877.68","3,902.09","3,869.44","","0.60%"
"09/17/2025","3,871.01","3,868.75","3,894.12","3,861.16","","0.08%"
"09/16/2025","3,868.00","3,903.00","3,906.81","3,865.71","","-0.92%"
"09/15/2025","3,904.00","3,896.50","3,913.27","3,884.09","","0.08%"
"09/12/2025","3,901.00","3,893.03","3,917.26","3,892.50","","0.28%"
"09/11/2025","3,890.00","3,924.25","3,926.66","3,887.30","","-0.92%"
"09/10/2025","3,926.00","3,923.99","3,940.50","3,913.14","","0.10%"
"09/09/2025","3,922.10","3,940.35","3,952.95","3,906.17","","-0.33%"
"09/08/2025","3,935.00","3,959.52","3,959.64","3,935.00","","-0.61%"
"09/05/2025","3,959.00","3,987.00","3,987.75","3,953.57","","-0.64%"
"09/04/2025","3,984.50","4,003.75","4,005.80","3,982.73","","-0.52%"
"09/03/2025","4,005.40","4,003.04","4,010.66","3,988.63","","0.08%"
"09/02/2025","4,002.00","4,016.13","4,040.24","4,000.50","","-0.35%"
"09/01/2025","4,016.01","4,017.05","4,019.57","4,004.64","","0.15%"
"08/29/2025","4,010.00","4,026.55","4,027.58","4,010.00","","-0.19%"
"08/28/2025","4,017.50","4,029.23","4,043.89","4,010.31","","-0.38%"
"08/27/2025","4,033.00","4,045.00","4,070.51","4,028.70","","-0.28%"
"08/26/2025","4,044.50","4,026.10","4,058.95","4,019.15","","0.43%"
"08/25/2025","4,027.10","4,011.13","4,031.15","3,998.08","","0.25%"
"08/22/2025","4,017.00","4,037.00","4,037.00","3,993.95","","-0.50%"
"08/21/2025","4,037.15","4,022.66","4,049.59","4,017.39","","0.29%"
"08/20/2025","4,025.50","4,039.12","4,040.98","4,017.73","","-0.16%"
"08/19/2025","4,032.00","4,014.70","4,052.73","4,013.48","","0.43%"
"08/18/2025","4,014.70","4,015.12","4,030.19","4,014.58","","-0.08%"
"08/15/2025","4,018.00","4,053.41","4,058.80","3,992.00","","-1.01%"
"08/14/2025","4,058.99","4,029.00","4,062.67","4,010.47","","0.74%"
"08/13/2025","4,029.13","4,018.00","4,032.41","4,012.59","","0.30%"
"08/12/2025","4,017.00","4,035.30","4,036.40","4,007.81","","-0.45%"
"08/11/2025","4,035.00","4,050.86","4,074.57","4,021.05","","-0.22%"
"08/08/2025","4,044.00","4,047.30","4,056.99","4,016.75","","-0.07%"
"08/07/2025","4,047.00","4,048.50","4,050.00","4,044.00","","-0.12%"
"08/06/2025","4,052.00","4,090.93","4,091.47","4,038.98","","-0.92%"
"08/05/2025","4,089.50","4,098.80","4,103.81","4,084.55","","-0.22%"
"08/04/2025","4,098.57","4,129.43","4,129.89","4,086.33","","-0.62%"
"08/01/2025","4,124.28","4,185.60","4,187.23","4,117.12","","-1.33%"
"07/31/2025","4,180.00","4,181.75","4,210.93","4,164.68","","-0.24%"
"07/30/2025","4,190.00","4,141.11","4,197.81","4,133.40","","1.30%"
"07/29/2025","4,136.30","4,166.92","4,186.50","4,129.22","","-1.04%"
"07/28/2025","4,179.80","4,142.98","4,191.58","4,140.03","","1.01%"
"07/25/2025","4,138.00","4,073.61","4,146.84","4,071.03","","1.64%"
"07/24/2025","4,071.09","4,040.00","4,080.77","4,032.72","","0.87%"
"07/23/2025","4,036.10","4,074.12","4,074.94","4,032.08","","-0.62%"
"07/22/2025","4,061.25","4,045.72","4,077.79","4,034.11","","0.33%"
"07/21/2025","4,047.99","4,014.47","4,048.95","3,997.01","","0.50%"
"07/18/2025","4,028.00","4,020.33","4,028.00","3,984.76","","0.11%"
"07/17/2025","4,023.60","4,016.23","4,041.01","3,997.13","","0.22%"
"07/16/2025","4,014.66","4,033.51","4,052.35","4,000.64","","-0.41%"
"07/15/2025","4,031.00","4,000.64","4,044.13","3,983.75","","0.80%"
"07/14/2025","3,998.92","4,000.85","4,041.98","3,997.38","","0.02%"
"07/11/2025","3,998.00","4,012.00","4,020.00","3,996.13","","-0.35%"
"07/10/2025","4,012.00","4,007.98","4,034.99","3,993.70","","-0.20%"
"07/09/2025","4,020.00","4,046.88","4,050.69","4,000.51","","-0.62%"
"07/08/2025","4,045.00","4,048.10","4,082.49","4,038.77","","-0.09%"
"07/07/2025","4,048.50","3,987.00","4,051.26","3,987.00","","1.17%"
"07/04/2025","4,001.65","3,979.97","4,006.00","3,974.10","","0.29%"
"07/03/2025","3,990.00","3,988.50","4,000.49","3,949.41","","0.03%"
"07/02/2025","3,989.00","4,026.05","4,034.19","3,987.00","","-0.92%"
"07/01/2025","4,026.00","4,089.50","4,089.50","4,021.29","","-1.55%"
"06/30/2025","4,089.50","4,079.96","4,090.00","4,079.96","","0.11%"
"06/27/2025","4,085.00","4,052.00","4,105.00","4,039.00","","0.82%"
"06/26/2025","4,051.67","4,061.23","4,061.92","4,035.31","","-0.05%"
"06/25/2025","4,053.50","4,077.48","4,084.41","4,051.22","","-0.44%"
"06/24/2025","4,071.50","4,081.99","4,094.22","4,070.05","","-0.31%"
"06/23/2025","4,084.00","4,094.83","4,095.34","4,083.50","","0.18%"
"06/20/2025","4,076.50","4,082.62","4,097.88","4,056.25","","-0.14%"
"06/19/2025","4,082.25","4,068.44","4,097.25","4,068.10","","0.30%"
"06/18/2025","4,070.00","4,100.66","4,103.00","4,064.71","","-0.66%"
"06/17/2025","4,097.00","4,104.73","4,111.22","4,082.91","","-0.15%"
"06/16/2025","4,103.00","4,131.68","4,134.98","4,076.52","","-0.51%"
"06/13/2025","4,123.88","4,153.50","4,187.58","4,123.88","","-0.71%"
"06/12/2025","4,153.50","4,179.00","4,188.56","4,152.60","","-0.61%"
"06/11/2025","4,179.10","4,203.00","4,208.70","4,176.87","","-0.66%"
"06/10/2025","4,207.00","4,142.13","4,217.33","4,136.40","","1.62%"
"06/09/2025","4,140.01","4,115.59","4,150.46","4,113.00","","0.64%"
"06/06/2025","4,113.62","4,117.00","4,169.12","4,108.49","","-0.07%"
"06/05/2025","4,116.60","4,108.67","4,116.60","4,085.00","","0.14%"
"06/04/2025","4,111.00","4,108.30","4,123.49","4,091.18","","0.02%"
"06/03/2025","4,110.00","4,156.91","4,162.18","4,107.42","","-1.09%"
"06/02/2025","4,155.15","4,155.15","4,155.15","4,155.15","","0.00%"
"05/30/2025","4,155.00","4,119.77","4,165.52","4,119.77","","0.64%"
"05/29/2025","4,128.50","4,125.23","4,128.90","4,097.48","","0.08%"
"05/28/2025","4,125.21","4,111.00","4,135.96","4,110.37","","0.27%"
"05/27/2025","4,114.00","4,152.50","4,155.90","4,110.26","","-0.95%"
"05/26/2025","4,153.50","4,151.68","4,155.00","4,135.00","","0.16%"
"05/23/2025","4,147.00","4,182.00","4,191.26","4,146.75","","-0.81%"
"05/22/2025","4,181.00","4,176.56","4,190.45","4,166.00","","0.36%"
"05/21/2025","4,166.00","4,170.00","4,186.13","4,156.41","","0.02%"
"05/20/2025","4,165.25","4,172.91","4,183.77","4,161.18","","-0.11%"
"05/19/2025","4,170.00","4,176.50","4,182.00","4,159.42","","-0.30%"
"05/16/2025","4,182.50","4,204.00","4,216.56","4,172.80","","-0.46%"
"05/15/2025","4,202.00","4,181.48","4,218.50","4,160.63","","0.33%"
"05/14/2025","4,188.00","4,216.50","4,218.71","4,175.91","","-0.73%"
"05/13/2025","4,219.00","4,223.00","4,234.65","4,186.75","","-0.15%"
"05/12/2025","4,225.50","4,224.66","4,243.80","4,198.98","","0.04%"
"05/09/2025","4,224.00","4,252.50","4,265.65","4,222.73","","-0.77%"
"05/08/2025","4,256.95","4,287.80","4,287.80","4,246.71","","-0.67%"
"05/07/2025","4,285.50","4,302.00","4,320.75","4,285.25","","-0.36%"
"05/06/2025","4,301.00","4,296.50","4,324.58","4,294.21","","0.04%"
"05/05/2025","4,299.10","4,250.31","4,304.82","4,240.70","","1.04%"
"05/02/2025","4,255.00","4,259.50","4,275.91","4,221.60","","-0.24%"
"05/01/2025","4,265.20","4,265.20","4,265.20","4,265.20","","0.57%"
"04/30/2025","4,240.89","4,194.00","4,265.00","4,187.25","","1.29%"
"04/29/2025","4,187.00","4,215.06","4,228.53","4,184.40","","-0.68%"
"04/28/2025","4,215.54","4,217.56","4,252.50","4,213.05","","-0.10%"
"04/25/2025","4,219.90","4,257.00","4,268.40","4,216.02","","-0.87%"
"04/24/2025","4,257.00","4,306.06","4,306.06","4,255.39","","-1.23%"
"04/23/2025","4,310.00","4,294.00","4,322.80","4,262.14","","0.37%"
"04/22/2025","4,294.00","4,277.00","4,301.12","4,263.04","","0.21%"
"04/21/2025","4,285.00","4,282.50","4,301.80","4,261.50","","-0.57%"
"04/18/2025","4,309.50","4,310.00","4,310.22","4,307.84","","-0.01%"
"04/17/2025","4,310.00","4,312.12","4,312.31","4,310.00","","0.07%"
"04/16/2025","4,307.00","4,350.00","4,358.50","4,277.50","","-1.01%"
"04/15/2025","4,351.00","4,289.00","4,358.00","4,274.66","","1.43%"
"04/14/2025","4,289.50","4,260.02","4,329.90","4,246.30","","0.25%"
"04/11/2025","4,278.80","4,318.55","4,373.00","4,270.00","","-1.77%"
"04/10/2025","4,356.00","4,300.00","4,405.72","4,300.00","","1.29%"
"04/09/2025","4,300.50","4,430.00","4,463.50","4,294.00","","-2.79%"
"04/08/2025","4,424.00","4,387.00","4,437.60","4,335.10","","0.89%"
"04/07/2025","4,385.10","4,311.00","4,416.50","4,308.75","","2.44%"
"04/04/2025","4,280.50","4,160.00","4,300.51","4,152.50","","2.87%"
"04/03/2025","4,161.01","4,152.01","4,161.01","4,105.58","","0.14%"
