"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2026","17.2871","17.3680","17.3654","17.2649","","-0.39%"
"06/01/2026","17.3545","17.3569","17.4055","17.3155","","-0.01%"
"05/31/2026","17.3565","17.3389","17.3691","17.3444","","-0.01%"
"05/29/2026","17.3575","17.3130","17.4135","17.2986","","0.23%"
"05/28/2026","17.3180","17.3615","17.4397","17.3013","","-0.25%"
"05/27/2026","17.3619","17.3083","17.4005","17.2838","","0.31%"
"05/26/2026","17.3083","17.2725","17.3485","17.2637","","0.18%"
"05/25/2026","17.2780","17.2737","17.3079","17.2427","","-0.30%"
"05/22/2026","17.3300","17.3170","17.3585","17.2870","","0.14%"
"05/21/2026","17.3051","17.3100","17.3905","17.2631","","-0.06%"
"05/20/2026","17.3150","17.4168","17.4350","17.2589","","-0.54%"
"05/19/2026","17.4096","17.2910","17.4214","17.2623","","0.72%"
"05/18/2026","17.2853","17.3400","17.3725","17.2551","","-0.32%"
"05/15/2026","17.3400","17.2215","17.4085","17.2090","","0.69%"
"05/14/2026","17.2215","17.1775","17.2490","17.1575","","0.26%"
"05/13/2026","17.1775","17.2280","17.2582","17.1629","","-0.27%"
"05/12/2026","17.2239","17.2025","17.2850","17.1805","","0.15%"
"05/11/2026","17.1975","17.1915","17.2391","17.1587","","0.09%"
"05/08/2026","17.1825","17.3115","17.3286","17.1659","","-0.75%"
"05/07/2026","17.3115","17.2555","17.3248","17.1916","","0.29%"
"05/06/2026","17.2620","17.3815","17.3920","17.1934","","-0.65%"
"05/05/2026","17.3755","17.5090","17.5462","17.3538","","-0.76%"
"05/04/2026","17.5094","17.4240","17.5535","17.4110","","0.29%"
"05/01/2026","17.4580","17.4590","17.4885","17.3809","","-0.06%"
"04/30/2026","17.4678","17.5355","17.5863","17.4559","","-0.37%"
"04/29/2026","17.5332","17.3860","17.5770","17.3607","","0.85%"
"04/28/2026","17.3860","17.3808","17.4706","17.3671","","0.03%"
"04/27/2026","17.3816","17.3825","17.4203","17.3379","","-0.03%"
"04/24/2026","17.3860","17.4305","17.4567","17.3696","","-0.22%"
"04/23/2026","17.4235","17.3400","17.4710","17.3266","","0.51%"
"04/22/2026","17.3350","17.3260","17.3625","17.2788","","0.07%"
"04/21/2026","17.3235","17.3000","17.4190","17.2835","","0.18%"
"04/20/2026","17.2932","17.3285","17.4114","17.2837","","-0.08%"
"04/17/2026","17.3075","17.2630","17.3365","17.1251","","0.26%"
"04/16/2026","17.2630","17.2655","17.2976","17.2165","","0.05%"
"04/15/2026","17.2540","17.2751","17.3169","17.2381","","-0.07%"
"04/14/2026","17.2658","17.3055","17.3194","17.1974","","-0.26%"
"04/13/2026","17.3105","17.4230","17.4454","17.2924","","0.05%"
"04/10/2026","17.3025","17.3729","17.4069","17.2477","","-0.36%"
"04/09/2026","17.3654","17.4331","17.4931","17.3220","","-0.50%"
"04/08/2026","17.4525","17.7050","17.7710","17.3577","","-1.45%"
"04/07/2026","17.7085","17.7665","17.8027","17.6804","","-0.33%"
"04/06/2026","17.7665","17.9166","17.9284","17.7470","","-0.63%"
"04/03/2026","17.8790","17.8595","17.9113","17.8225","","0.06%"
"04/02/2026","17.8678","17.8265","17.9621","17.7935","","0.25%"
"04/01/2026","17.8225","17.9440","17.9465","17.7935","","-0.65%"
"03/31/2026","17.9390","18.1165","18.1695","17.9132","","-0.98%"
"03/30/2026","18.1165","18.0895","18.1643","18.0349","","-0.05%"
